allotrope,r,elements,G(r),type
alpha,0.825,BAg,0,NNP
alpha,0.825,AgAg,0,NNP
alpha,0.835,BB,0,NNP
alpha,0.835,BAg,0,NNP
alpha,0.835,AgAg,0,NNP
alpha,0.845,BB,0,NNP
alpha,0.845,BAg,0,NNP
alpha,0.845,AgAg,0,NNP
alpha,0.855,BB,0,NNP
alpha,0.855,BAg,0,NNP
alpha,0.855,AgAg,0,NNP
alpha,0.865,BB,0,NNP
alpha,0.865,BAg,0,NNP
alpha,0.865,AgAg,0,NNP
alpha,0.875,BB,0,NNP
alpha,0.875,BAg,0,NNP
alpha,0.875,AgAg,0,NNP
alpha,0.885,BB,0,NNP
alpha,0.885,BAg,0,NNP
alpha,0.885,AgAg,0,NNP
alpha,0.895,BB,0,NNP
alpha,0.895,BAg,0,NNP
alpha,0.895,AgAg,0,NNP
alpha,0.905,BB,0,NNP
alpha,0.905,BAg,0,NNP
alpha,0.905,AgAg,0,NNP
alpha,0.915,BB,0,NNP
alpha,0.915,BAg,0,NNP
alpha,0.915,AgAg,0,NNP
alpha,0.925,BB,0,NNP
alpha,0.925,BAg,0,NNP
alpha,0.925,AgAg,0,NNP
alpha,0.935,BB,0,NNP
alpha,0.935,BAg,0,NNP
alpha,0.935,AgAg,0,NNP
alpha,0.945,BB,0,NNP
alpha,0.945,BAg,0,NNP
alpha,0.945,AgAg,0,NNP
alpha,0.955,BB,0,NNP
alpha,0.955,BAg,0,NNP
alpha,0.955,AgAg,0,NNP
alpha,0.965,BB,0,NNP
alpha,0.965,BAg,0,NNP
alpha,0.965,AgAg,0,NNP
alpha,0.975,BB,0,NNP
alpha,0.975,BAg,0,NNP
alpha,0.975,AgAg,0,NNP
alpha,0.985,BB,0,NNP
alpha,0.985,BAg,0,NNP
alpha,0.985,AgAg,0,NNP
alpha,0.995,BB,0,NNP
alpha,0.995,BAg,0,NNP
alpha,0.995,AgAg,0,NNP
alpha,1.005,BB,0,NNP
alpha,1.005,BAg,0,NNP
alpha,1.005,AgAg,0,NNP
alpha,1.015,BB,0,NNP
alpha,1.015,BAg,0,NNP
alpha,1.015,AgAg,0,NNP
alpha,1.025,BB,0,NNP
alpha,1.025,BAg,0,NNP
alpha,1.025,AgAg,0,NNP
alpha,1.035,BB,0,NNP
alpha,1.035,BAg,0,NNP
alpha,1.035,AgAg,0,NNP
alpha,1.045,BB,0,NNP
alpha,1.045,BAg,0,NNP
alpha,1.045,AgAg,0,NNP
alpha,1.055,BB,0,NNP
alpha,1.055,BAg,0,NNP
alpha,1.055,AgAg,0,NNP
alpha,1.065,BB,0,NNP
alpha,1.065,BAg,0,NNP
alpha,1.065,AgAg,0,NNP
alpha,1.075,BB,0,NNP
alpha,1.075,BAg,0,NNP
alpha,1.075,AgAg,0,NNP
alpha,1.085,BB,0,NNP
alpha,1.085,BAg,0,NNP
alpha,1.085,AgAg,0,NNP
alpha,1.095,BB,0,NNP
alpha,1.095,BAg,0,NNP
alpha,1.095,AgAg,0,NNP
alpha,1.105,BB,0,NNP
alpha,1.105,BAg,0,NNP
alpha,1.105,AgAg,0,NNP
alpha,1.115,BB,0,NNP
alpha,1.115,BAg,0,NNP
alpha,1.115,AgAg,0,NNP
alpha,1.125,BB,0,NNP
alpha,1.125,BAg,0,NNP
alpha,1.125,AgAg,0,NNP
alpha,1.135,BB,0,NNP
alpha,1.135,BAg,0,NNP
alpha,1.135,AgAg,0,NNP
alpha,1.145,BB,0,NNP
alpha,1.145,BAg,0,NNP
alpha,1.145,AgAg,0,NNP
alpha,1.155,BB,0,NNP
alpha,1.155,BAg,0,NNP
alpha,1.155,AgAg,0,NNP
alpha,1.165,BB,0,NNP
alpha,1.165,BAg,0,NNP
alpha,1.165,AgAg,0,NNP
alpha,1.175,BB,0,NNP
alpha,1.175,BAg,0,NNP
alpha,1.175,AgAg,0,NNP
alpha,1.185,BB,0,NNP
alpha,1.185,BAg,0,NNP
alpha,1.185,AgAg,0,NNP
alpha,1.195,BB,0,NNP
alpha,1.195,BAg,0,NNP
alpha,1.195,AgAg,0,NNP
alpha,1.205,BB,0,NNP
alpha,1.205,BAg,0,NNP
alpha,1.205,AgAg,0,NNP
alpha,1.215,BB,0,NNP
alpha,1.215,BAg,0,NNP
alpha,1.215,AgAg,0,NNP
alpha,1.225,BB,0,NNP
alpha,1.225,BAg,0,NNP
alpha,1.225,AgAg,0,NNP
alpha,1.235,BB,0,NNP
alpha,1.235,BAg,0,NNP
alpha,1.235,AgAg,0,NNP
alpha,1.245,BB,0,NNP
alpha,1.245,BAg,0,NNP
alpha,1.245,AgAg,0,NNP
alpha,1.255,BB,0,NNP
alpha,1.255,BAg,0,NNP
alpha,1.255,AgAg,0,NNP
alpha,1.265,BB,0,NNP
alpha,1.265,BAg,0,NNP
alpha,1.265,AgAg,0,NNP
alpha,1.275,BB,0,NNP
alpha,1.275,BAg,0,NNP
alpha,1.275,AgAg,0,NNP
alpha,1.285,BB,0,NNP
alpha,1.285,BAg,0,NNP
alpha,1.285,AgAg,0,NNP
alpha,1.295,BB,0,NNP
alpha,1.295,BAg,0,NNP
alpha,1.295,AgAg,0,NNP
alpha,1.305,BB,0,NNP
alpha,1.305,BAg,0,NNP
alpha,1.305,AgAg,0,NNP
alpha,1.315,BB,0,NNP
alpha,1.315,BAg,0,NNP
alpha,1.315,AgAg,0,NNP
alpha,1.325,BB,0,NNP
alpha,1.325,BAg,0,NNP
alpha,1.325,AgAg,0,NNP
alpha,1.335,BB,0,NNP
alpha,1.335,BAg,0,NNP
alpha,1.335,AgAg,0,NNP
alpha,1.345,BB,0,NNP
alpha,1.345,BAg,0,NNP
alpha,1.345,AgAg,0,NNP
alpha,1.355,BB,0,NNP
alpha,1.355,BAg,0,NNP
alpha,1.355,AgAg,0,NNP
alpha,1.365,BB,0,NNP
alpha,1.365,BAg,0,NNP
alpha,1.365,AgAg,0,NNP
alpha,1.375,BB,0,NNP
alpha,1.375,BAg,0,NNP
alpha,1.375,AgAg,0,NNP
alpha,1.385,BB,0,NNP
alpha,1.385,BAg,0,NNP
alpha,1.385,AgAg,0,NNP
alpha,1.395,BB,0,NNP
