w,Int,y1,y2,y3,y4,y5,y6,y7,y8,y9,ytot,y10,name,P,run
290.61013679999996,0.1588128675881287,6.030023550300236e-4,0.10599443505994435,0.03012432750124328,0.0048215232482152325,0.03365395443653955,0.0014521534345215345,7.614050446140505e-5,0.001779749207797492,1.727091887270919e-10,0.17850552178505522,NA,RBM_00, 0.1 GPa,1
291.6448584,0.1818013308180133,6.086416860864169e-4,0.14988060449880605,0.032479604124796044,0.005129793801297937,0.03013365720133657,0.001436687504366875,7.433481704334816e-5,0.0017555371975553722,1.698367096983671e-10,0.2214985882149859,NA,RBM_00, 0.1 GPa,1
292.67958,0.25885807758858076,6.143578741435788e-4,0.22272747822727476,0.03511436075114361,0.005468511234685112,0.02709542187095422,0.001421476394214764,7.259258802592588e-5,0.0017318183873181838,1.6703533367035333e-10,0.29424599994246003,NA,RBM_00, 0.1 GPa,1
293.71430159999994,0.42285817622858174,6.201533852015338e-4,0.34610351446103516,0.03807347858073479,0.005841834868418348,0.02446350114463501,0.0014064995540649956,7.091085820910859e-5,0.0017085763370857632,1.6430259464302596e-10,0.4182882671828827,NA,RBM_00, 0.1 GPa,1
294.74902319999995,0.641794590417946,6.260236982602369e-4,0.5337233723372338,0.041406729714067295,0.006254170622541706,0.02217620392176204,0.0013917734239177343,6.928847679288477e-5,0.0016858233768582338,1.6163931461639313e-10,0.6073330620733306,NA,RBM_00, 0.1 GPa,1
295.78374479999997,0.768132703681327,6.319815543198155e-4,0.6983950449839503,0.04518501165185011,0.006712073947120739,0.02017619570176196,0.0013772651237726511,6.771956647719567e-5,0.0016635060766350609,1.5903727359037273e-10,0.7742089277420894,NA,RBM_00, 0.1 GPa,1
296.8184664,0.6657090366570904,6.395483383954834e-4,0.5982565379825654,0.05068131470681315,0.007361492313614923,0.018028679580286797,0.0013594647135946472,6.583556985835569e-5,0.0016362595163625952,1.558772315587723e-10,0.6780291727802917,NA,RBM_00, 0.1 GPa,1
297.853188,0.4512147105121471,6.47239107472391e-4,0.36054112260541127,0.057115725271157256,0.008102051301020513,0.016174699661746998,0.0013419807734198078,6.402414214024143e-5,0.001609636306096363,1.5280404752804046e-10,0.44559634045596336,NA,RBM_00, 0.1 GPa,1
298.88790959999994,0.34173252941732535,6.534867185348672e-4,0.23155822431558226,0.06316909773169098,0.008780275287802753,0.014889749248897494,0.001328261593282616,6.263163302631633e-5,0.0015888438158884383,1.5041531550415317e-10,0.32203083322030834,NA,RBM_00, 0.1 GPa,1
299.92263119999996,0.2785330587853306,6.598288595982886e-4,0.15511838855118387,0.07018581310185812,0.009547653395476535,0.013745648537456487,0.001314735583147356,6.128277211282772e-5,0.0015684335556843355,1.4808001348080012e-10,0.25220193252201933,NA,RBM_00, 0.1 GPa,1
300.95735279999997,0.2109905511099055,6.662618316626184e-4,0.10924051309240514,0.07835710968357111,0.010419795404197954,0.012724354627243547,0.001301419183014192,5.9977025099770256e-5,0.0015484178554841784,1.4579896345798964e-10,0.21431800714318006,NA,RBM_00, 0.1 GPa,1
